stock_no, com_name, owner_capital, roe_3yr, stock_count, stock_current_price, stock_value_price,expected_rise_percent, url, evevitda
021880,메이슨캐피탈,32900000000.0,-5.041666666666667,151184408.0,501,-121,-124.15169660678642,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=021880,36.29
021040,대호특수강,51000000000.0,-20.69333333333333,75398540.0,805,-1543,-291.67701863354034,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=021040,-34.18
029480,릭스솔루션,24200000000.0,-68.03666666666668,113955215.0,827,-1593,-292.62394195888754,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=029480,-33.93
028300,HLB,479800000000.0,-16.926666666666666,106610064.0,31300,-8399,-126.8338658146965,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=028300,-62.33
027710,팜스토리,206200000000.0,5.614999999999999,111416600.0,2765,1146,-58.55334538878842,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=027710,18.36
023600,삼보판지,391800000000.0,10.791666666666666,16170000.0,14300,28829,101.60139860139861,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=023600,3.83
018310,삼목에스폼,339600000000.0,3.481666666666667,14700000.0,20500,8868,-56.74146341463414,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=018310,14.31
003800,에이스침대,506900000000.0,0.0,11090000.0,44200,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=003800,7.96
014190,원익큐브,83900000000.0,2.705,35399906.0,3120,707,-77.33974358974359,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=014190,18.94
012700,리드코프,410300000000.0,11.385,26446135.0,8480,19474,129.64622641509433,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=012700,3.46
018000,유니슨,75700000000.0,-21.96166666666667,122248023.0,2770,-1499,-154.11552346570397,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=018000,-65.15
025980,아난티,341500000000.0,-7.1883333333333335,85230863.0,9390,-3176,-133.82321618743345,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025980,-88.32
026910,광진실업,24900000000.0,-7.001666666666665,6405405.0,4560,-3001,-165.81140350877192,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=026910,-16.69
017250,인터엠,29400000000.0,-35.224999999999994,21045467.0,1305,-5425,-515.7088122605364,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=017250,-2.49
015750,성우하이텍,1027600000000.0,-0.8299999999999997,80000000.0,4965,-1175,-123.66565961732125,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=015750,5.59
020180,대신정보통신,27400000000.0,6.201666666666667,38428915.0,1360,488,-64.11764705882354,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=020180,9.71
006730,서부T&D,625900000000.0,0.0,59258931.0,9120,0,-100.0,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=006730,-382.16
025950,동신건설,85300000000.0,-0.6116666666666668,8400000.0,21650,-685,-103.16397228637413,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025950,55.07
025900,동화기업,555300000000.0,5.101666666666667,20201177.0,73400,15462,-78.93460490463215,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025900,16.48
025870,신라에스지,14400000000.0,-4.8933333333333335,4000000.0,11550,-1942,-116.81385281385282,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025870,35.16
025880,케이씨피드,53000000000.0,-2.501666666666667,16715858.0,3160,-875,-127.68987341772151,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025880,20.75
002680,한탑,59000000000.0,-23.455,28269988.0,1185,-5397,-555.4430379746835,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=002680,-11.23
025550,한국선재,88700000000.0,3.28,23909198.0,6630,1342,-79.75867269984917,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025550,25.4
025440,대성엘텍,38800000000.0,-9.606666666666666,100971343.0,795,-407,-151.19496855345912,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025440,12.88
025320,시노펙스,75300000000.0,-2.693333333333334,73242958.0,2825,-305,-110.79646017699115,https://navercomp.wisereport.co.kr/v2/company/c1010001.aspx?cmp_cd=025320,26.51
